Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
FESH,FESH,,102,38.616856,1,1,1,0,0,0,0.00443,0,45,67,1,5151,0.683108
GTLC,GTLC,,110,3.230554,1,1,1,0,0.094931,0.094931,0.004431,1,21,87,0.999833,5994,1
EELT,EELT,,102,54.956873,1,1,1,0,0,0,0.00443,0,45,82,1,5151,0.683108
ZVEZ,ZVEZ,,110,37.288346,1,1,1,0,0.094931,0.094931,0.004431,1,21,88,0.999833,5994,1
ZILL,ZILL,,0,0,0,0,0,0,0,0,0.000666,35,35,91,0,0,0
IDVP,IDVP,,0,0,0,0,0,0,0,0,0.000666,36,36,92,0,0,0
RUSI,RUSI,,110,26.669319,1,1,1,0,10.440715,0.094931,0.004431,1,21,15,0.999833,5994,1
INGR,INGR,,102,52.019161,1,1,1,0,0,0,0.00443,0,45,0,1,5151,0.683108
IGST,IGST,,110,37.145009,1,1,1,0,10.440715,0.094931,0.004431,1,21,20,0.999833,5994,1
IGSTP,IGSTP,,110,32.67837,1,1,1,0,10.440715,0.094931,0.004431,1,21,44,0.999833,5994,1
ISKJ,ISKJ,,110,9.986093,1,1,1,0,10.440715,0.094931,0.004431,1,21,143,0.999833,5994,1
KLSB,KLSB,,102,32.053272,1,1,1,0,0,0,0.00443,0,11,34,1,5151,0.683108
TGKD,TGKD,,0,0,0,0,0,0,0,0,0.000666,37,37,99,0,0,0
TGKDP,TGKDP,,0,0,0,0,0,0,0,0,0.000666,38,38,100,0,0,0
KSGR,KSGR,,0,0,0,0,0,0,0,0,0.000666,39,39,101,0,0,0
KOGK,KOGK,,102,50.75328,1,1,1,0,0,0,0.00443,0,11,94,1,5151,0.683108
KMTZ,KMTZ,,102,55.07299,1,1,1,0,0,0,0.00443,0,45,89,1,5151,0.683108
KTSB,KTSB,,110,31.047555,1,1,1,0,10.440715,0.094931,0.004431,1,21,35,0.999833,5994,1
KTSBP,KTSBP,,102,45.580526,1,1,1,0,0,0,0.00443,0,45,103,1,5151,0.683108
KZMS,KZMS,,0,0,0,0,0,0,0,0,0.000666,40,40,106,0,0,0
KRSB,KRSB,,110,20.579741,1,1,1,0,10.440715,0.094931,0.004431,1,21,108,0.999833,5994,1
KRSBP,KRSBP,,110,5.081657,1,1,1,0,0.094931,0.094931,0.004431,1,21,85,0.999833,5994,1
KBTK,KBTK,,0,0,0,0,0,0,0,0,0.000666,41,41,109,0,0,0
KAZT,KAZT,,110,17.923629,1,1,1,0,0.094931,0.094931,0.004431,1,21,78,0.999833,5994,1
KAZTP,KAZTP,,110,37.418673,1,1,1,0,10.440715,0.094931,0.004431,1,21,110,0.999833,5994,1
KGKC,KGKC,,102,50.611072,1,1,1,0,0,0,0.00443,0,11,102,1,5151,0.683108
KGKCP,KGKCP,,102,43.782623,1,1,1,0,0,0,0.00443,0,45,98,1,5151,0.683108
MERF,MERF,,0,0,0,0,0,0,0,0,0.000666,42,42,113,0,0,0
MFON,MFON,,0,0,0,0,0,0,0,0,0.000666,43,43,114,0,0,0
ODVA,ODVA,,110,4.882743,1,1,1,0,10.440715,0.094931,0.004431,1,44,108,0.999833,5994,1
GEMA,GEMA,,102,7.343185,1,1,1,0,0,0,0.00443,0,45,112,1,5151,0.683108
MRSB,MRSB,,102,39.279005,1,1,1,0,0,0,0.00443,0,11,66,1,5151,0.683108
MORI,MORI,,0,0,0,0,0,0,0,0,0.000666,44,46,117,0,0,0
MGTS,MGTS,,0,0,0,0,0,0,0,0,0.000666,45,47,118,0,0,0
MGTSP,MGTSP,,102,46.609986,1,1,1,0,0,0,0.00443,0,45,17,1,5151,0.683108
KROT,KROT,,102,48.578087,1,1,1,0,0,0,0.00443,0,11,30,1,5151,0.683108
KROTP,KROTP,,110,30.094896,1,1,1,0,10.440715,0.094931,0.004431,1,21,143,0.999833,5994,1
NSVZ,NSVZ,,110,20.868005,1,1,1,0,10.440715,0.094931,0.004431,1,21,10,0.999833,5994,1
UWGN,UWGN,,0,0,0,0,0,0,0,0,0.000666,46,48,119,0,0,0
NFAZ,NFAZ,,102,32.019953,1,1,1,0,0,0,0.00443,0,45,14,1,5151,0.683108
NKSH,NKSH,,102,19.33386,1,1,1,0,0,0,0.00443,0,11,122,1,5151,0.683108
NKHP,NKHP,,102,50.778529,1,1,1,0,0,0,0.00443,0,11,153,1,5151,0.683108
NMTP,NMTP,,102,21.239966,1,1,1,0,0,0,0.00443,0,45,59,1,5151,0.683108
SATR,SATR,,0,0,0,0,0,0,0,0,0.000666,47,49,120,0,0,0
UNAC,UNAC,,102,38.422374,1,1,1,0,0,0,0.00443,0,11,166,1,5151,0.683108
UCSS,UCSS,,110,25.541177,1,1,1,0,10.440715,0.094931,0.004431,1,21,24,0.999833,5994,1
PRTK,PRTK,,0,0,0,0,0,0,0,0,0.000666,48,50,121,0,0,0
PAZA,PAZA,,102,48.42432,1,1,1,0,0,0,0.00443,0,45,17,1,5151,0.683108
PMSB,PMSB,,110,37.218378,1,1,1,0,0.094931,0.094931,0.004431,1,21,159,0.999833,5994,1
PMSBP,PMSBP,,110,28.605579,1,1,1,0,10.440715,0.094931,0.004431,1,21,110,0.999833,5994,1
RBCM,RBCM,,102,38.736122,1,1,1,0,0,0,0.00443,0,11,122,1,5151,0.683108
CHGZ,CHGZ,,102,55.612322,1,1,1,0,0,0,0.00443,0,45,12,1,5151,0.683108
ROST,ROST,,110,33.15449,1,1,1,0,10.440715,0.094931,0.004431,1,21,88,0.999833,5994,1
RKKE,RKKE,,110,10.422106,1,1,1,0,10.440715,0.094931,0.004431,1,21,55,0.999833,5994,1
MRKK,MRKK,,102,45.726559,1,1,1,0,0,0,0.00443,0,45,134,1,5151,0.683108
MRKY,MRKY,,102,49.629387,1,1,1,0,0,0,0.00443,0,11,5,1,5151,0.683108
RSDR,RSDR,,0,0,0,0,0,0,0,0,0.000666,49,51,123,0,0,0
RUGR,RUGR,,110,5.061081,1,1,1,0,10.440715,0.094931,0.004431,1,44,160,0.999833,5994,1
ROLO,ROLO,,110,21.553603,1,1,1,0,10.440715,0.094931,0.004431,1,21,69,0.999833,5994,1
RUSP,RUSP,,0,0,0,0,0,0,0,0,0.000666,50,52,124,0,0,0
RZSB,RZSB,,110,28.688372,1,1,1,0,10.440715,0.094931,0.004431,1,21,71,0.999833,5994,1
KRKN,KRKN,,0,0,0,0,0,0,0,0,0.000666,51,53,125,0,0,0
KRKNP,KRKNP,,110,23.121475,1,1,1,0,10.440715,0.094931,0.004431,1,21,167,0.999833,5994,1
SARE,SARE,,102,53.211328,1,1,1,0,0,0,0.00443,0,45,150,1,5151,0.683108
SAREP,SAREP,,0,0,0,0,0,0,0,0,0.000666,52,54,126,0,0,0
SZPR,SZPR,,0,0,0,0,0,0,0,0,0.000666,53,55,127,0,0,0
MFGS,MFGS,,110,14.89281,1,1,1,0,10.440715,0.094931,0.004431,1,21,154,0.999833,5994,1
MFGSP,MFGSP,,110,35.712605,1,1,1,0,10.440715,0.094931,0.004431,1,21,16,0.999833,5994,1
JNOS,JNOS,,110,34.380889,1,1,1,0,10.440715,0.094931,0.004431,1,21,3,0.999833,5994,1
JNOSP,JNOSP,,102,54.584241,1,1,1,0,0,0,0.00443,0,45,137,1,5151,0.683108
STSB,STSB,,110,6.355234,1,1,1,0,10.440715,0.094931,0.004431,1,21,8,0.999833,5994,1
STSBP,STSBP,,110,5.75892,1,1,1,0,10.440715,0.094931,0.004431,1,44,129,0.999833,5994,1
VRSB,VRSB,,102,53.893769,1,1,1,0,0,0,0.00443,0,45,161,1,5151,0.683108
VRSBP,VRSBP,,0,0,0,0,0,0,0,0,0.000666,54,56,128,0,0,0
KBSB,KBSB,,110,28.19808,1,1,1,0,10.440715,0.094931,0.004431,1,21,143,0.999833,5994,1
MISB,MISB,,0,0,0,0,0,0,0,0,0.000666,55,57,130,0,0,0
MISBP,MISBP,,110,29.322947,1,1,1,0,0.094931,0.094931,0.004431,1,21,129,0.999833,5994,1
NNSB,NNSB,,0,0,0,0,0,0,0,0,0.000666,56,58,131,0,0,0
NNSBP,NNSBP,,110,12.056745,1,1,1,0,10.440715,0.094931,0.004431,1,21,38,0.999833,5994,1
RTSB,RTSB,,102,54.543792,1,1,1,0,0,0,0.00443,0,45,156,1,5151,0.683108
RTSBP,RTSBP,,102,55.269045,1,1,1,0,0,0,0.00443,0,45,82,1,5151,0.683108
YRSB,YRSB,,0,0,0,0,0,0,0,0,0.000666,57,59,132,0,0,0
